City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,Bengkulu,-3.8004,102.2655,73.56,89,90,3.83,ID,2021-04-23 22:01:25
268,Asau,46.4333,26.4,36.0,67,38,2.98,RO,2021-04-23 22:01:26
269,Satkhira,22.7167,89.1,78.8,73,20,4.29,BD,2021-04-23 22:01:26
270,Mancio Lima,-7.6142,-72.8958,84.2,74,75,5.75,BR,2021-04-23 21:56:58
271,Jalingo,8.8833,11.3667,81.82,60,95,2.37,NG,2021-04-23 22:01:27
272,Ketchikan,55.3422,-131.6461,55.4,38,1,10.36,US,2021-04-23 22:01:28
273,Dalianwan,39.0286,121.695,53.6,94,40,6.71,CN,2021-04-23 22:01:28
274,Ostersund,63.1792,14.6357,28.99,86,4,16.11,SE,2021-04-23 22:00:35
275,Erzin,36.9559,36.2,64.99,71,95,3.76,TR,2021-04-23 22:01:29
276,Kstovo,56.1473,44.1979,51.8,54,0,4.47,RU,2021-04-23 22:01:29
277,Namibe,-15.1961,12.1522,78.22,77,0,4.14,AO,2021-04-23 22:01:30
278,Ndele,8.4109,20.6473,73.99,73,100,7.45,CF,2021-04-23 22:01:30
279,Okhotsk,59.3833,143.3,18.39,68,2,19.8,RU,2021-04-23 22:01:31
280,Vakhrushev,48.9833,142.9667,33.67,94,100,6.71,RU,2021-04-23 22:01:31
281,Yatou,37.15,122.3833,49.84,88,100,13.58,CN,2021-04-23 22:01:32
282,Karpogory,64.0019,44.4451,47.8,75,97,10.0,RU,2021-04-23 22:01:32
283,Queanbeyan,-35.35,149.2333,42.01,100,66,1.1,AU,2021-04-23 22:01:32
284,Inta,66.0317,60.1659,34.92,92,89,9.46,RU,2021-04-23 22:01:33
285,Birmingham,33.5207,-86.8025,71.6,28,75,9.22,US,2021-04-23 21:57:15
286,San Carlos De Bariloche,-41.1456,-71.3082,53.6,47,20,23.02,AR,2021-04-23 22:01:33
287,Vila Franca Do Campo,37.7167,-25.4333,59.0,67,40,20.71,PT,2021-04-23 22:01:34
288,Arani,12.6667,79.2833,80.26,73,92,4.25,IN,2021-04-23 22:01:34
289,Kirksville,40.1948,-92.5833,57.2,62,90,6.91,US,2021-04-23 22:01:34
290,Provideniya,64.3833,-173.3,40.23,57,81,4.12,RU,2021-04-23 22:01:35
291,Mayo,38.8876,-76.5119,62.6,29,1,6.91,US,2021-04-23 22:01:35
